Threshold,Year_Pred,n_rows,mean_percent,weighted_mean_percent
0.8,2020,13.0,0.006438495461538462,0.05828220891717792
0.8,2025,4.0,0.03125,0.03125
0.8,2030,6.0,0.24838501266666668,0.29452054757534246
0.8,2035,1.0,0.185185185,0.18518518500000003
0.8,2040,1.0,0.0,0.0
0.8,2050,45.0,0.07389820235555554,0.10106516271535088
0.8,2055,16.0,0.039583333312499996,0.022779043246013663
0.8,2060,16.0,0.4372104610625,0.3701298701038961
0.8,2065,6.0,0.21302469133333335,0.09691629955066079
0.8,2070,7.0,0.3333333332857143,0.24999999994642857
0.8,2075,2.0,0.21000000000000002,0.21000000000000005
0.8,2080,42.0,0.18652655073809524,0.1834394905494692
0.8,2085,37.0,0.21490738332432432,0.29402489155487976
0.8,2090,11.0,0.2669986307272727,0.26704545446022726
0.8,2095,14.0,0.22280567428571427,0.15217906220816133
0.8,2100,65.0,0.22913430495384618,0.19255849640084388
0.85,2050,6.0,0.017573696333333333,0.017573696333333333
0.85,2080,6.0,0.136621315,0.13662131500000002
0.9,2050,2.0,0.270588235,0.270588235
0.9,2055,9.0,0.16055625377777777,0.10493046785082176
0.9,2085,36.0,0.03806149711111111,0.04055084535415536
0.9,2095,4.0,0.0714285715,0.0714285715
0.9,2100,16.0,0.5509581881250001,0.5509581881250001
0.95,2020,12.0,0.0,0.0
0.95,2025,4.0,0.0,0.0
0.95,2030,6.0,0.13092161933333335,0.20547945215068494
0.95,2035,1.0,0.037037037,0.037037037
0.95,2040,1.0,0.0,0.0
0.95,2050,43.0,0.03900048397674418,0.01869841289911111
0.95,2055,20.0,0.0200194,0.012303776045820959
0.95,2060,16.0,0.3460259103125,0.27922077914285715
0.95,2065,6.0,0.12277777766666666,0.055066079255506606
0.95,2070,7.0,0.19841269857142854,0.16071428589285716
0.95,2075,2.0,0.10500000000000001,0.10500000000000002
0.95,2080,42.0,0.0821962985952381,0.06424062377348683
0.95,2085,22.0,0.08552781663636365,0.14421855148284624
0.95,2090,11.0,0.1695743513636364,0.147727272625
0.95,2095,8.0,0.0958508405,0.08333333348333331
0.95,2100,51.0,0.05605138609803922,0.020833333378968255
0.99,2085,30.0,0.008808687866666668,0.007814542516862744
1.0,2020,13.0,0.0013554726923076924,0.012269938389570552
1.0,2025,8.0,0.07558444375000001,0.2559729775893887
1.0,2030,6.0,0.081395349,0.1438356167260274
1.0,2035,1.0,0.0,0.0
1.0,2040,1.0,0.0,0.0
1.0,2050,120.0,0.13558590753333333,0.028924892369677734
1.0,2055,32.0,0.06118617775,0.3228985507574637
1.0,2060,16.0,0.18740909837499997,0.13636363654545453
1.0,2065,9.0,0.017855212222222226,0.020013342329553034
1.0,2070,11.0,0.21248196245454543,0.46546635167827627
1.0,2075,2.0,0.05,0.05
1.0,2080,93.0,0.06541086650537634,0.04738652466360147
1.0,2085,42.0,0.0959344764047619,0.34788238309743363
1.0,2090,12.0,0.15431730591666667,0.17021276588510637
1.0,2095,17.0,0.1688093021764706,0.09120485474795265
1.0,2100,128.0,0.1147179351875,0.07446446392741428
,2020,4.0,0.01925,0.01925
,2050,17.0,0.16427586547058826,0.3361595977784346
,2090,9.0,0.41938789355555556,0.4123311781915722
,2100,11.0,0.08632834009090909,0.09050824882490686
,2106,8.0,0.11646494537499999,0.116464945375
