Region,Taxa,Year_Pred,Endemic,n_rows,sum_weight,weighted_percent
Africa,Inverts,2050,Y,2.0,28.0,0.48000000000000004
Africa,amphibians,2085,N,1.0,19.0,0.10526315799999998
Africa,animals,2050,N,2.0,358.0,0.13966480450000002
Africa,birds,2050,N,6.0,36.0,0.0
Africa,birds ,2050,Y,2.0,10.0,0.36
Africa,mammals,2050,Y,13.0,2277.0,0.04183135689986824
Africa,mammals,2080,Y,8.0,2216.0,0.134025270875
Africa,plants,2020,Y,2.0,454.0,0.050660793
Africa,plants,2025,N,2.0,10394.0,0.29824899
Africa,plants,2050,N,3.0,1008.0,0.07142857133333333
Africa,plants,2050,Y,17.0,1612.0,0.20335607934057073
Africa,plants,2055,N,2.0,10394.0,0.409948047
Africa,plants,2080,Y,4.0,636.0,0.07075471675000002
Africa,plants,2085,N,2.0,10394.0,0.48200885099999996
Africa,reptiles,2050,Y,21.0,496.0,0.05185483875000001
Africa,reptiles,2080,Y,19.0,444.0,0.09684684687837838
Africa,reptiles,2085,N,1.0,11.0,0.09090909100000001
Arctic,birds,2085,Y,9.0,213.0,0.009389671389671362
Arctic,mammals,2100,Y,1.0,11.0,0.272727273
Asia,amphibians,2090,Y,6.0,54.0,0.5185185185
Asia,birds,2085,N,3.0,189.0,0.12698412666666667
Asia,birds,2090,Y,6.0,138.0,0.04347826083333333
Asia,mammals,2050,N,8.0,1368.0,0.03216374275
Asia,mammals,2080,N,4.0,684.0,0.032163743
Asia,mammals,2090,Y,6.0,102.0,0.07843137216666668
Asia,mammals,2100,N,8.0,1368.0,0.0635964915
Asia,plants,2050,N,1.0,3.0,0.0
Asia,plants,2090,Y,6.0,144.0,0.22222222233333333
Asia,reptiles,2090,Y,6.0,84.0,0.1785714283333333
AustraliaNewZealand,Inverts,2020,Y,6.0,150.0,0.0
AustraliaNewZealand,Inverts,2030,Y,3.0,27.0,0.148148148
AustraliaNewZealand,Inverts,2050,Y,18.0,432.0,0.07824074077777778
AustraliaNewZealand,Inverts,2060,N,9.0,18.0,0.6666666666666666
AustraliaNewZealand,amphibians,2050,Y,2.0,46.0,0.425
AustraliaNewZealand,amphibians,2060,N,9.0,27.0,0.148148148
AustraliaNewZealand,amphibians,2100,Y,6.0,18.0,0.388888889
AustraliaNewZealand,birds,2060,N,9.0,153.0,0.28104575155555556
AustraliaNewZealand,birds,2100,N,12.0,660.0,0.2651515151666667
AustraliaNewZealand,birds,2100,Y,6.0,18.0,0.27777777783333335
AustraliaNewZealand,birds ,2050,Y,2.0,26.0,0.41000000000000003
AustraliaNewZealand,fish,2030,N,9.0,387.0,0.2299741602222222
AustraliaNewZealand,mammals,2030,N,6.0,24.0,0.041666666666666664
AustraliaNewZealand,mammals,2050,Y,2.0,22.0,0.47500000000000003
AustraliaNewZealand,mammals,2060,N,9.0,117.0,0.3162393164444444
AustraliaNewZealand,mammals,2070,N,3.0,12.0,0.5833333333333334
AustraliaNewZealand,mammals,2100,Y,6.0,18.0,0.4444444445
AustraliaNewZealand,plants,2070,Y,22.0,3600.0,0.44888888874999994
AustraliaNewZealand,plants,2080,Y,9.0,900.0,0.1111111111111111
AustraliaNewZealand,plants,2100,Y,19.0,96.0,0.06306076675
AustraliaNewZealand,reptiles,2050,Y,3.0,46.0,0.3269565217391304
AustraliaNewZealand,reptiles,2060,N,9.0,63.0,0.2857142857777778
AustraliaNewZealand,reptiles,2080,Y,1.0,10.0,0.2
AustraliaNewZealand,reptiles,2100,Y,6.0,18.0,0.16666666666666666
AustraliaNewZealand,vertebrates,2100,Y,4.0,260.0,0.5884615385
Europe,Inverts,2020,N,6.0,12.0,0.0
Europe,Inverts,2025,N,6.0,48.0,0.0
Europe,Inverts,2050,N,18.0,3540.0,0.01214689287118644
Europe,Inverts,2050,Y,15.0,69.0,0.10144927547826087
Europe,Inverts,2055,N,7.0,52.0,0.0
Europe,Inverts,2065,N,14.0,1400.0,0.015714285714285715
Europe,Inverts,2080,N,33.0,4903.0,0.08810932070365084
Europe,Inverts,2080,Y,11.0,75.0,0.26666666654666665
Europe,Inverts,2085,N,12.0,258.0,0.0
Europe,Inverts,2100,N,1.0,1134.0,0.079365079
Europe,amphibians,2055,N,1.0,2.0,0.0
Europe,birds,2020,N,6.0,24.0,0.0
Europe,birds,2025,N,6.0,48.0,0.020833333333333332
Europe,birds,2035,N,3.0,81.0,0.074074074
Europe,birds,2050,N,6.0,24.0,0.0
Europe,birds,2055,N,7.0,56.0,0.03571428571428571
Europe,birds,2065,N,6.0,162.0,0.32098765416666675
Europe,birds,2080,N,7.0,31.0,0.0
Europe,birds,2085,N,14.0,6004.0,0.0764490339598601
Europe,birds ,2085,Y,2.0,68.0,0.22
Europe,butterflyplant,2080,N,18.0,36.0,0.08333333333333333
Europe,mammals,2080,N,13.0,737.0,0.005427408537313433
Europe,mammals,2085,Y,4.0,160.0,0.05625
Europe,mammals,2095,N,12.0,336.0,0.038690476249999994
Europe,plants,2020,N,9.0,78.0,0.0
Europe,plants,2025,N,2.0,1712.0,0.004088785
Europe,plants,2050,N,17.0,4530.0,0.053863134652980135
Europe,plants,2050,Y,6.0,1152.0,0.11333333333333334
Europe,plants,2055,N,1.0,36.0,0.055555556
Europe,plants,2065,N,1.0,845.0,0.029585799
Europe,plants,2080,N,46.0,19806.0,0.011499040695849743
Europe,plants,2085,N,16.0,10840.0,0.3193726936380074
Europe,plants,2095,N,12.0,204.0,0.15196078441666666
Europe,plants,2100,N,71.0,14493.0,0.22755813151859516
Europe,plants,2100,Y,8.0,200.0,0.47
Europe,reptiles,2050,Y,1.0,6.0,1.0
Europe,reptiles,2080,Y,1.0,6.0,0.5
NAmerica,Inverts,2020,N,6.0,18.0,0.0
NAmerica,Inverts,2050,N,6.0,18.0,0.0
NAmerica,Inverts,2050,Y,5.0,171.0,0.09342576874269007
NAmerica,Inverts,2055,N,6.0,666.0,0.0
NAmerica,Inverts,2100,Y,2.0,2.0,0.0
NAmerica,amphibians,2050,Y,6.0,12.0,0.0
NAmerica,amphibians,2095,Y,2.0,30.0,0.2
NAmerica,birds,2055,N,18.0,144.0,0.020833333333333332
NAmerica,birds,2055,Y,5.0,225.0,0.031111111
NAmerica,birds,2100,N,4.0,706.0,0.026912181396600565
NAmerica,birds ,2050,Y,4.0,744.0,0.0575
NAmerica,birdsmammalsbutterflies,2055,Y,18.0,6012.0,0.008815702
NAmerica,fish,2020,N,3.0,15.0,0.0
NAmerica,fish,2040,N,3.0,12.0,0.0
NAmerica,fish,2050,N,3.0,15.0,0.0
NAmerica,fish,2080,N,3.0,12.0,0.0
NAmerica,fish,2100,N,10.0,487.0,0.07597535935112937
NAmerica,mammals,2050,Y,8.0,448.0,0.1443296068370536
NAmerica,mammals,2055,N,3.0,6.0,0.0
NAmerica,mammals,2100,N,1.0,4.0,0.0
NAmerica,mammals,2100,Y,6.0,6.0,0.16666666666666666
NAmerica,plants,2050,Y,7.0,211.0,0.00554735452606635
NAmerica,plants,2060,N,3.0,84.0,0.08333333333333333
NAmerica,plants,2085,Y,8.0,4728.0,0.260152284375
NAmerica,plants,2090,Y,3.0,6.0,0.0
NAmerica,plants,2100,N,12.0,1470.0,0.01768707486802721
NAmerica,plants,2100,Y,26.0,392.0,0.005102040841836734
NAmerica,reptiles,2050,Y,1.0,48.0,0.541666667
NAmerica,reptiles,2080,Y,1.0,48.0,0.583333333
NAmerica,reptiles,2100,Y,8.0,14.0,0.0
Ocean,Inverts,2080,Y,3.0,42.0,0.0
Ocean,Inverts,2100,N,18.0,36.0,0.0
Ocean,Inverts,2100,Y,1.0,3.0,0.333333333
Ocean,fish,2050,N,1.0,17.0,0.0
Ocean,fish,2050,Y,2.0,150.0,0.1266666665
Ocean,fish,2085,Y,2.0,150.0,0.26666666699999997
